Chancellor's Greatest Needs-Chancellor's Greatest Needs-UCLA Fund-Centennial Campaign General Fund,3955.0
Chancellor's Greatest Needs-Chancellor's Greatest Needs-UCLA Fund-Chancellor's Greatest Needs,473065.25
Chancellor's Greatest Needs-Chancellor's Greatest Needs-UCLA Fund-UCLA Fund,158613.95
Chancellor's Greatest Needs-Chancellor's Greatest Needs-UCLA Fund-UCLA Fund Special Needs,250.0
College of Letters and Science-Collegewide-College Office of the Deans-UCLA College's Greatest Needs,43825.94
College of Letters and Science-Collegewide-Institute of the Environment and Sustainability-Center for Diverse Leadership in Science,5500.0
College of Letters and Science-Collegewide-Institute of the Environment and Sustainability-Center for Tropical Research,2750.0
College of Letters and Science-Collegewide-Institute of the Environment and Sustainability-Congo Basin Institute Fund,10000.0
College of Letters and Science-Collegewide-Institute of the Environment and Sustainability-Corporate Partners Program,65000.0
College of Letters and Science-Collegewide-Institute of the Environment and Sustainability-Environmental Science and Engineering Program Endowment,3900.0
College of Letters and Science-Collegewide-Institute of the Environment and Sustainability-La Kretz Center Education and Research Fund,260.0
College of Letters and Science-Collegewide-Institute of the Environment and Sustainability-Los Angeles Regional Collaborative for Climate Action and Sustainability (LARC),955.0
College of Letters and Science-Collegewide-Institute of the Environment and Sustainability-UCLA IoES Foundation,85316.65000000001
College of Letters and Science-Collegewide-Institute of the Environment and Sustainability-Various Donors Urban Ctr for LA Collaborative,22285.0
College of Letters and Science-Collegewide-Institute of the Environment and Sustainability-White Mountain Research Center,100.0
College of Letters and Science-Division of Humanities-Art History-Friends of Art History,7555.0
College of Letters and Science-Division of Humanities-Asian Languages & Cultures-Asian Languages and Cultures Chair's Discretionary Fund,485.0
College of Letters and Science-Division of Humanities-Center for 17th & 18th Century Studies-17th and 18th Century Studies and Clark Library Fund,13250.0
College of Letters and Science-Division of Humanities-Center for 17th & 18th Century Studies-Henry J. Bruman Chamber Music Series Fund,250.0
College of Letters and Science-Division of Humanities-Center for 17th & 18th Century Studies-Henry J. Bruman Endowment for Chamber Music,7500.0
College of Letters and Science-Division of Humanities-Classics-Chair's Resource Fund - Classics,3420.0
"College of Letters and Science-Division of Humanities-Dean, Humanities-Dean of Humanities Discretionary Fund",100.0
"College of Letters and Science-Division of Humanities-Dean, Humanities-Humanities Greatest Needs Fund",7792.0
"College of Letters and Science-Division of Humanities-Dean, Humanities-Renata Landres '58, MA '61, MA '66 Doctoral Completion Support Fund",75000.0
College of Letters and Science-Division of Humanities-Department of Comparative Literature-Arnold J. Band Fellowship,234000.0
College of Letters and Science-Division of Humanities-Department of Comparative Literature-Chair's Discretionary Fund for Comparative Literature,400.0
College of Letters and Science-Division of Humanities-Department of Comparative Literature-The Michael Henry Heim Memorial Fund in Translation Studies,300.0
College of Letters and Science-Division of Humanities-English-Carolyn See Graduate Fellowship in Southern California & Los Angeles Literature,100.0
College of Letters and Science-Division of Humanities-English-David Wong Louie Memorial Creative Writing Prize,270.0
College of Letters and Science-Division of Humanities-English-Department of English Unrestricted,29926.73
College of Letters and Science-Division of Humanities-English-Friends of English Programmatic and Research Endowment,600.0
College of Letters and Science-Division of Humanities-English-Grant Fund,16000.0
College of Letters and Science-Division of Humanities-English-John Charles Hillis Endowed Chair in Literature,50000.0
College of Letters and Science-Division of Humanities-English-Our Favorite Writers Series,180.0
College of Letters and Science-Division of Humanities-European Languages and Transcultural Studies-Chair's Discretionary Fund - Germanic Languages,825.0
College of Letters and Science-Division of Humanities-European Languages and Transcultural Studies-French Department - Chair's Discretionary,2825.0
College of Letters and Science-Division of Humanities-European Languages and Transcultural Studies-French Government Fund,3500.0
College of Letters and Science-Division of Humanities-European Languages and Transcultural Studies-Italian Chair's Discretionary Fund,570.0
"College of Letters and Science-Division of Humanities-Lesbian, Gay & Bisexual Studies-Lesbian, Gay, and Bisexual Studies Program",10.0
College of Letters and Science-Division of Humanities-Linguistics-Linguistics Department Discretionary Fund,2870.91
College of Letters and Science-Division of Humanities-Linguistics-Peter Ladefoged Scholarship Fund,100.0
College of Letters and Science-Division of Humanities-Linguistics-Robert Stockwell Scholarship Fund,6000.0
College of Letters and Science-Division of Humanities-Linguistics-UCLA Phonetics Lab,3100.0
College of Letters and Science-Division of Humanities-Medieval & Renaissance Studies Center-CMRS Greatest Needs Fund,1000.0
College of Letters and Science-Division of Humanities-Medieval & Renaissance Studies Center-Center for Medieval and Renaissance Studies Endowment,1100.0
College of Letters and Science-Division of Humanities-Medieval & Renaissance Studies Center-Grant Fund,100000.0
College of Letters and Science-Division of Humanities-Medieval & Renaissance Studies Center-History of the Book Lecture,400.0
College of Letters and Science-Division of Humanities-Near Eastern Languages and Cultures-Armenian Fund- Near Eastern Language & Cultures,2590.0
College of Letters and Science-Division of Humanities-Near Eastern Languages and Cultures-Fund for Islamic Studies,10372.8
College of Letters and Science-Division of Humanities-Near Eastern Languages and Cultures-Grant Fund,21500.0
College of Letters and Science-Division of Humanities-Near Eastern Languages and Cultures-Mohamad T. Khobreh CRUT - Near Eastern Languages & Cultures,11300.1
College of Letters and Science-Division of Humanities-Near Eastern Languages and Cultures-UCLA Encyclopedia of Egyptology,100.0
College of Letters and Science-Division of Humanities-Near Eastern Languages and Cultures-Western Armenian Lecturer Fund,12972.5
